DATE,SSID,SS,BSSID,CAP,LAT,LNG,ACC
Wed Nov 20 16:00:53 EST 2024,DTLR-Store,-86,c8:67:5e:7d:7c:65,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],33.463325000000005,-82.07915999999999,2.4
Wed Nov 20 16:00:53 EST 2024,DTLR Guest,-85,c8:67:5e:7d:7c:64,[ESS],33.463325000000005,-82.07915999999999,2.4
Wed Nov 20 16:00:53 EST 2024,Cozy_Toys,-57,94:98:8f:0a:ca:f6,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][MFPC],33.463325000000005,-82.07915999999999,2.4
Wed Nov 20 16:00:53 EST 2024,TMOBILE-AAEE,-76,40:e1:e4:e4:aa:f9,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS],33.463325000000005,-82.07915999999999,2.4
Wed Nov 20 16:00:53 EST 2024,aerie_mobile,-90,de:55:b8:07:0a:04,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],33.463325000000005,-82.07915999999999,2.4
Wed Nov 20 16:00:53 EST 2024,flcorporate,-68,92:18:98:73:8c:68,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],33.463325000000005,-82.07915999999999,2.4
Wed Nov 20 16:00:53 EST 2024,03FL_20130709,-83,9a:18:98:c0:af:9c,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],33.463325000000005,-82.07915999999999,2.4
Wed Nov 20 16:00:53 EST 2024,MK-Guest,-82,06:7b:d8:a9:d6:29,[ESS],33.463325000000005,-82.07915999999999,2.4
Wed Nov 20 16:00:53 EST 2024,omsierra,-86,e6:cb:ac:34:53:f1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],33.463325000000005,-82.07915999999999,2.4
Wed Nov 20 16:00:53 EST 2024,CREATION,-85,18:a5:ff:27:f2:25,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][MFPC],33.463325000000005,-82.07915999999999,2.4
Wed Nov 20 16:00:53 EST 2024,BAB-Onboard,-91,e2:55:b8:07:df:5f,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],33.463325000000005,-82.07915999999999,2.4
Wed Nov 20 16:00:53 EST 2024,rmdm19,-90,f2:55:b8:07:0a:04,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],33.463325000000005,-82.07915999999999,2.4
Wed Nov 20 16:00:53 EST 2024,PearlDeFlore,-76,c8:99:b2:f2:c3:20,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][MFPC],33.463325000000005,-82.07915999999999,2.4
Wed Nov 20 16:00:53 EST 2024,SOTPA,-80,a2:17:d8:11:b2:ff,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],33.463325000000005,-82.07915999999999,2.4
Wed Nov 20 16:00:53 EST 2024,TCPS-Guest,-76,1e:8d:cb:6e:aa:fa,[ESS],33.463325000000005,-82.07915999999999,2.4
Wed Nov 20 16:00:53 EST 2024,Kay Guest Wifi,-61,88:b1:e1:13:c9:81,[ESS],33.463325000000005,-82.07915999999999,2.4
Wed Nov 20 16:00:53 EST 2024,Kay,-62,88:b1:e1:13:c9:82,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],33.463325000000005,-82.07915999999999,2.4
