DATE,LAT,LNG,ACC
Wed Nov 20 15:47:28 EST 2024,33.46442666666667,-82.07984666666668,5.7
Wed Nov 20 15:47:25 EST 2024,33.464465000000004,-82.07988500000002,5.6
Wed Nov 20 15:47:21 EST 2024,33.46442666666667,-82.07991666666666,5.4
Wed Nov 20 15:47:16 EST 2024,33.46438666666666,-82.07996499999999,5.1
Wed Nov 20 15:47:05 EST 2024,33.46434166666666,-82.08002333333334,4.8
Wed Nov 20 15:47:01 EST 2024,33.464349999999996,-82.07996833333333,4.8
Wed Nov 20 15:46:54 EST 2024,33.464385,-82.07991166666667,4.9
Wed Nov 20 15:46:47 EST 2024,33.46443,-82.0799,4.9
Wed Nov 20 15:46:39 EST 2024,33.46438,-82.07990999999998,5.1
Wed Nov 20 15:46:32 EST 2024,33.46434,-82.07986000000001,5.3
Wed Nov 20 15:46:27 EST 2024,33.46429666666667,-82.07989333333335,5.6
Wed Nov 20 15:46:24 EST 2024,33.46435333333333,-82.07990166666666,6.0
Wed Nov 20 15:46:22 EST 2024,33.464420000000004,-82.07994333333333,6.2
Wed Nov 20 15:46:19 EST 2024,33.46451166666667,-82.07999666666667,6.3
Wed Nov 20 15:46:17 EST 2024,33.464688333333335,-82.079865,6.3
Wed Nov 20 15:46:09 EST 2024,33.464711666666666,-82.07981666666667,48.8
Wed Nov 20 15:44:00 EST 2024,33.464360000000006,-82.07985,50.6
Wed Nov 20 15:43:59 EST 2024,33.464306666666666,-82.07988833333333,51.9
Wed Nov 20 15:43:52 EST 2024,33.46441333333333,-82.07983833333334,7.7
Wed Nov 20 15:43:48 EST 2024,33.46445166666667,-82.0798,79.5
Wed Nov 20 15:43:24 EST 2024,33.46435333333333,-82.07983833333334,7.8
Wed Nov 20 15:43:22 EST 2024,33.464481666666664,-82.07980333333334,9.3
Wed Nov 20 15:42:49 EST 2024,33.464265,-82.07993666666668,5.9
Wed Nov 20 15:42:44 EST 2024,33.4643,-82.07989,5.9
Wed Nov 20 15:42:31 EST 2024,33.46433833333333,-82.079835,6.1
Wed Nov 20 15:42:29 EST 2024,33.46438,-82.07978499999999,6.4
Wed Nov 20 15:42:28 EST 2024,33.464418333333334,-82.07974833333334,43.9
Wed Nov 20 15:42:21 EST 2024,33.464330000000004,-82.07982666666666,37.8
Wed Nov 20 15:42:19 EST 2024,33.46428,-82.07985500000001,6.1
Wed Nov 20 15:42:17 EST 2024,33.46429166666667,-82.07979666666667,6.3
Wed Nov 20 15:42:16 EST 2024,33.46431833333334,-82.07975,6.5
Wed Nov 20 15:42:15 EST 2024,33.464349999999996,-82.07967500000001,6.8
Wed Nov 20 15:42:13 EST 2024,33.46441333333333,-82.07957333333334,6.8
Wed Nov 20 15:42:12 EST 2024,33.46446666666667,-82.07948,50.5
Wed Nov 20 15:41:00 EST 2024,33.464558333333336,-82.07962833333335,2.8
Wed Nov 20 15:40:34 EST 2024,33.46443166666666,-82.079685,3.0
Wed Nov 20 15:40:19 EST 2024,33.46436166666667,-82.07976500000001,2.9
Wed Nov 20 15:40:04 EST 2024,33.46430833333333,-82.07986833333334,3.8
Wed Nov 20 15:39:54 EST 2024,33.46438166666667,-82.07986000000001,3.5
Wed Nov 20 15:39:43 EST 2024,33.464468333333336,-82.07990999999998,3.2
Wed Nov 20 15:39:41 EST 2024,33.46453666666666,-82.07990166666666,3.5
Wed Nov 20 15:39:24 EST 2024,33.46458666666667,-82.079835,5.1
Wed Nov 20 15:39:22 EST 2024,33.46454666666667,-82.07988333333333,5.6
Wed Nov 20 15:39:21 EST 2024,33.46447333333333,-82.07992,6.2
Wed Nov 20 15:39:20 EST 2024,33.4644,-82.07995666666666,6.6
Wed Nov 20 15:39:19 EST 2024,33.46439833333333,-82.07979500000002,7.6
Wed Nov 20 15:39:18 EST 2024,33.46436166666667,-82.07989666666666,9.0
Wed Nov 20 15:39:00 EST 2024,33.46489833333333,-82.07931666666667,49.3
Wed Nov 20 15:38:46 EST 2024,33.464985,-82.07935666666665,5.1
Wed Nov 20 15:38:41 EST 2024,33.464933333333335,-82.07934833333333,6.6
Wed Nov 20 15:38:40 EST 2024,33.46491,-82.07917166666667,6.6
Wed Nov 20 15:38:37 EST 2024,33.46497166666666,-82.07916666666667,38.8
Wed Nov 20 15:38:34 EST 2024,33.46492333333333,-82.07914166666666,34.4
Wed Nov 20 15:38:26 EST 2024,33.464865,-82.07914833333334,5.3
Wed Nov 20 15:38:22 EST 2024,33.46483166666667,-82.07911166666666,5.8
Wed Nov 20 15:38:21 EST 2024,33.46481166666667,-82.07905333333335,6.1
Wed Nov 20 15:38:19 EST 2024,33.464751666666665,-82.07893166666666,6.8
Wed Nov 20 15:38:18 EST 2024,33.46471333333333,-82.07886500000001,7.1
Wed Nov 20 15:38:17 EST 2024,33.464663333333334,-82.07874666666666,7.7
Wed Nov 20 15:38:15 EST 2024,33.464635,-82.07864666666667,8.2
Wed Nov 20 15:38:14 EST 2024,33.46444833333333,-82.07851666666666,9.8
Wed Nov 20 15:36:34 EST 2024,33.46498666666666,-82.07949166666667,4.8
Wed Nov 20 15:36:30 EST 2024,33.46497,-82.07942333333334,6.4
Wed Nov 20 15:36:10 EST 2024,33.464605,-82.08005833333333,3.9
Wed Nov 20 15:35:55 EST 2024,33.46456166666667,-82.08011499999999,3.0
Wed Nov 20 15:35:51 EST 2024,33.464615,-82.08014333333334,3.0
Wed Nov 20 15:35:35 EST 2024,33.46472000000001,-82.08013166666666,2.5
Wed Nov 20 15:35:16 EST 2024,33.464805,-82.08007666666666,2.1
Wed Nov 20 15:35:13 EST 2024,33.46485,-82.08007166666667,2.1
Wed Nov 20 15:34:55 EST 2024,33.46497333333333,-82.08006500000002,2.0
Wed Nov 20 15:34:36 EST 2024,33.465085,-82.08003333333333,1.8
Wed Nov 20 15:34:33 EST 2024,33.46512166666666,-82.07999666666667,1.8
Wed Nov 20 15:33:46 EST 2024,33.465185,-82.07995166666666,2.2
Wed Nov 20 15:33:44 EST 2024,33.465180000000004,-82.07989166666667,2.2
Wed Nov 20 15:33:42 EST 2024,33.46517666666667,-82.07980166666667,2.1
Wed Nov 20 15:33:40 EST 2024,33.465199999999996,-82.07973500000001,2.1
Wed Nov 20 15:33:36 EST 2024,33.46521166666666,-82.07966833333333,2.2
Wed Nov 20 15:33:34 EST 2024,33.465226666666666,-82.07961666666667,2.2
Wed Nov 20 15:33:32 EST 2024,33.465235,-82.07955166666667,2.3
Wed Nov 20 15:33:30 EST 2024,33.465178333333334,-82.07950666666666,2.3
Wed Nov 20 15:33:28 EST 2024,33.465111666666665,-82.07953,2.2
Wed Nov 20 15:33:25 EST 2024,33.46507833333333,-82.07959666666666,2.3
Wed Nov 20 15:33:23 EST 2024,33.465045,-82.07967333333333,2.2
Wed Nov 20 15:33:21 EST 2024,33.46501166666667,-82.07976166666667,2.2
Wed Nov 20 15:33:19 EST 2024,33.46498833333333,-82.07985333333333,2.3
Wed Nov 20 15:33:17 EST 2024,33.46498,-82.07994333333333,2.3
Wed Nov 20 15:33:15 EST 2024,33.465,-82.08002333333334,2.3
Wed Nov 20 15:33:13 EST 2024,33.465019999999996,-82.08009333333332,2.3
Wed Nov 20 15:33:11 EST 2024,33.46502666666667,-82.08015166666668,2.3
Wed Nov 20 15:33:09 EST 2024,33.46504166666667,-82.08021166666667,2.3
Wed Nov 20 15:33:07 EST 2024,33.465068333333335,-82.08027666666666,2.2
Wed Nov 20 15:33:05 EST 2024,33.46510833333333,-82.08034500000001,2.2
Wed Nov 20 15:33:03 EST 2024,33.46514666666667,-82.08040666666666,2.2
Wed Nov 20 15:33:01 EST 2024,33.465183333333336,-82.08047,2.1
Wed Nov 20 15:32:59 EST 2024,33.46520833333333,-82.08052833333335,2.1
Wed Nov 20 15:32:57 EST 2024,33.46525666666666,-82.08057833333332,2.1
Wed Nov 20 15:32:55 EST 2024,33.46531,-82.08062166666666,2.3
Wed Nov 20 15:32:53 EST 2024,33.46536666666667,-82.080655,2.3
Wed Nov 20 15:32:51 EST 2024,33.46543333333333,-82.08068166666665,2.2
Wed Nov 20 15:32:49 EST 2024,33.46550333333333,-82.08069833333333,2.2
Wed Nov 20 15:32:47 EST 2024,33.46557166666666,-82.08071666666667,2.2
Wed Nov 20 15:32:45 EST 2024,33.465646666666665,-82.08073,2.1
Wed Nov 20 15:32:43 EST 2024,33.465718333333335,-82.080735,2.2
Wed Nov 20 15:32:41 EST 2024,33.46579333333333,-82.08074333333334,2.2
Wed Nov 20 15:32:39 EST 2024,33.46587666666667,-82.08071833333334,2.1
Wed Nov 20 15:32:38 EST 2024,33.46592,-82.08069333333333,2.2
Wed Nov 20 15:32:36 EST 2024,33.46599333333334,-82.08063833333333,2.1
Wed Nov 20 15:32:34 EST 2024,33.46606166666666,-82.08058666666666,2.2
Wed Nov 20 15:32:32 EST 2024,33.46613,-82.08053333333334,2.2
Wed Nov 20 15:32:30 EST 2024,33.46618333333333,-82.080465,2.3
Wed Nov 20 15:32:28 EST 2024,33.46624166666666,-82.08038333333334,2.3
Wed Nov 20 15:32:26 EST 2024,33.466294999999995,-82.08030333333333,2.2
Wed Nov 20 15:32:24 EST 2024,33.46635666666667,-82.08023,2.2
Wed Nov 20 15:32:22 EST 2024,33.466445,-82.08020499999999,2.3
Wed Nov 20 15:32:20 EST 2024,33.466516666666664,-82.08023499999999,2.2
Wed Nov 20 15:32:19 EST 2024,33.466548333333336,-82.08028333333331,2.3
Wed Nov 20 15:32:18 EST 2024,33.46656333333333,-82.08035999999998,2.3
Wed Nov 20 15:32:17 EST 2024,33.466561666666664,-82.08044833333334,2.5
Wed Nov 20 15:32:16 EST 2024,33.46655,-82.08054666666666,2.5
Wed Nov 20 15:32:15 EST 2024,33.46653166666667,-82.08065166666665,2.5
Wed Nov 20 15:32:14 EST 2024,33.46651,-82.08076666666666,2.5
Wed Nov 20 15:32:13 EST 2024,33.466496666666664,-82.08086833333333,2.4
Wed Nov 20 15:32:12 EST 2024,33.466501666666666,-82.08095666666668,2.2
Wed Nov 20 15:32:11 EST 2024,33.46652666666667,-82.08102333333333,2.3
